time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
1.9024,0.234662,0.468091,0.282259,-0.446034,0.119722,-0.486504,-0.888420,0.339816,0.007389,-0.293643,-0.293622,0.128396,-0.775280,-0.131925,0.441779,-0.004728,0.520384,-0.481855
1.9358,0.213655,0.483529,0.290840,-0.440003,0.096825,-0.515174,-0.923947,0.298509,0.008371,-0.299603,-0.303840,0.117765,-0.792338,-0.147174,0.469917,-0.001967,0.562592,-0.496336
1.9692,0.221881,0.460404,0.305506,-0.425782,0.134625,-0.511597,-0.842544,0.292587,0.030331,-0.285800,-0.298910,0.107424,-0.802215,-0.177100,0.456212,0.038469,0.600060,-0.493434
2.0025,0.227816,0.439044,0.300193,-0.412375,0.168608,-0.507958,-0.760185,0.309671,-0.021943,-0.248428,-0.291608,0.101537,-0.796131,-0.218657,0.437264,0.084101,0.664503,-0.460926
2.0359,0.225350,0.404793,0.269181,-0.399103,0.187912,-0.501888,-0.691418,0.359880,-0.045155,-0.198885,-0.283429,0.090299,-0.778687,-0.270881,0.400773,0.089494,0.778420,-0.379195
2.0693,0.207184,0.362792,0.223435,-0.384528,0.200364,-0.496248,-0.608641,0.436737,-0.114217,-0.129871,-0.283518,0.074842,-0.749768,-0.323738,0.343970,0.048540,0.970312,-0.288512
2.1027,0.174992,0.311792,0.142258,-0.365518,0.199471,-0.501270,-0.520305,0.516950,-0.207452,-0.053797,-0.298831,0.068379,-0.713134,-0.352923,0.252710,-0.075441,1.246082,-0.213860
2.1360,0.100679,0.255387,0.046279,-0.344842,0.178297,-0.533752,-0.433953,0.487420,-0.243518,-0.026184,-0.326962,0.086000,-0.667455,-0.336534,0.163342,-0.307350,1.539103,-0.166773
2.1694,0.005889,0.239433,-0.056833,-0.354791,0.163063,-0.546139,-0.374172,0.402649,-0.238614,-0.007028,-0.325907,0.091822,-0.644230,-0.263469,0.123258,-0.525815,1.723487,-0.158943
2.2028,-0.100816,0.240165,-0.193769,-0.368957,0.153954,-0.527655,-0.313799,0.301747,-0.213551,0.023457,-0.311137,0.087943,-0.632616,-0.185180,0.116535,-0.705720,1.816822,-0.135796
2.2362,-0.205094,0.226364,-0.311612,-0.379574,0.131801,-0.510563,-0.237635,0.218969,-0.195072,0.074945,-0.309858,0.075815,-0.627775,-0.134999,0.087061,-0.841954,1.852746,-0.129235
2.2696,-0.286408,0.195677,-0.367979,-0.415095,0.121454,-0.487496,-0.207655,0.257219,-0.235458,0.130102,-0.309447,0.073409,-0.618256,-0.086576,0.046182,-0.930191,1.830245,-0.154162
2.3029,-0.366704,0.161178,-0.432053,-0.447798,0.118272,-0.465604,-0.186719,0.319731,-0.285580,0.183488,-0.297331,0.068131,-0.605990,-0.042057,-0.012318,-0.992666,1.754856,-0.190025
