time,L_arm_shoulder_pitch_joint,L_arm_shoulder_roll_joint,L_arm_shoulder_yaw_joint,L_arm_elbow_joint,L_leg_hip_yaw_joint,L_leg_hip_roll_joint,L_leg_hip_pitch_joint,L_leg_knee_joint,L_leg_ankle_joint,R_arm_shoulder_pitch_joint,R_arm_shoulder_roll_joint,R_arm_shoulder_yaw_joint,R_arm_elbow_joint,R_leg_hip_yaw_joint,R_leg_hip_roll_joint,R_leg_hip_pitch_joint,R_leg_knee_joint,R_leg_ankle_joint
2.3029,-0.152280,0.483221,-0.377363,-1.800000,0.363929,-0.474114,-0.649173,0.852431,-0.270248,-0.095190,-0.443550,0.439622,-1.534688,-0.297106,0.217304,-0.707930,1.241900,-0.287784
2.3363,-0.179400,0.453151,-0.377441,-1.800000,0.361004,-0.468028,-0.663682,0.837252,-0.239039,-0.041975,-0.430466,0.413660,-1.543845,-0.274272,0.189420,-0.689549,1.193722,-0.312083
2.3697,-0.196816,0.418565,-0.376193,-1.800000,0.358838,-0.471624,-0.685139,0.820723,-0.205588,-0.013120,-0.421197,0.403202,-1.557863,-0.255466,0.173846,-0.662603,1.100835,-0.339100
2.4031,-0.196561,0.395312,-0.363970,-1.800000,0.376757,-0.470136,-0.704427,0.819257,-0.177370,-0.009169,-0.417863,0.404153,-1.570743,-0.232611,0.186843,-0.631561,1.033930,-0.371992
2.4364,-0.194012,0.368339,-0.350394,-1.800000,0.384595,-0.483734,-0.716456,0.803208,-0.141056,-0.025629,-0.426044,0.413931,-1.572935,-0.219724,0.207863,-0.629981,1.000952,-0.386087
2.4698,-0.196515,0.339371,-0.347788,-1.800000,0.374374,-0.501628,-0.735234,0.757315,-0.082199,-0.059455,-0.436771,0.431803,-1.569305,-0.206318,0.232898,-0.659705,0.987517,-0.376004
2.5032,-0.200222,0.312953,-0.367868,-1.800000,0.353850,-0.503940,-0.738951,0.692984,-0.019378,-0.083467,-0.448619,0.441147,-1.565927,-0.200465,0.259366,-0.669645,0.974075,-0.358118
2.5366,-0.225400,0.293201,-0.393974,-1.800000,0.306682,-0.503969,-0.745630,0.601537,0.046557,-0.106988,-0.482011,0.439755,-1.578457,-0.204867,0.282364,-0.696407,0.958984,-0.347670
2.5699,-0.264453,0.273350,-0.419330,-1.799831,0.240251,-0.442389,-0.751808,0.521384,0.081780,-0.121527,-0.532707,0.427402,-1.601090,-0.222736,0.301974,-0.727205,0.955673,-0.347732
2.6033,-0.287791,0.283676,-0.416258,-1.800000,0.194127,-0.398597,-0.790593,0.568960,0.025350,-0.137847,-0.589612,0.420931,-1.619284,-0.230654,0.304579,-0.781214,0.999483,-0.367048
2.6367,-0.304644,0.285630,-0.418100,-1.800000,0.186880,-0.401028,-0.796064,0.635699,-0.060004,-0.144861,-0.629963,0.412334,-1.641691,-0.227529,0.315544,-0.794810,1.018421,-0.392958
2.6701,-0.312750,0.298583,-0.421694,-1.800000,0.201427,-0.430155,-0.799543,0.726979,-0.150238,-0.145330,-0.659725,0.401272,-1.659800,-0.219089,0.335602,-0.803555,1.040019,-0.425435
2.7034,-0.310381,0.311159,-0.424076,-1.800000,0.237468,-0.451534,-0.781847,0.826664,-0.248004,-0.140491,-0.665466,0.389265,-1.678522,-0.202915,0.354591,-0.792626,1.049023,-0.448755
2.7368,-0.287412,0.320064,-0.426910,-1.800000,0.290739,-0.427827,-0.720017,0.918339,-0.345859,-0.130255,-0.639780,0.384435,-1.696392,-0.183779,0.361453,-0.727794,1.021233,-0.462917
2.7702,-0.235097,0.328266,-0.431367,-1.800000,0.318555,-0.360326,-0.606536,0.936865,-0.390002,-0.131129,-0.577327,0.414530,-1.677828,-0.169709,0.362309,-0.568977,0.872985,-0.425242
2.8036,-0.235287,0.322721,-0.423383,-1.800000,0.261224,-0.315738,-0.591094,0.960917,-0.397081,-0.159046,-0.562702,0.423954,-1.662367,-0.158929,0.353221,-0.568254,0.827418,-0.390436
2.8369,-0.244109,0.324088,-0.410984,-1.800000,0.202942,-0.281310,-0.566263,0.952974,-0.390416,-0.179185,-0.553110,0.417293,-1.662968,-0.147525,0.345827,-0.589873,0.812224,-0.366020
2.8703,-0.248443,0.327676,-0.400172,-1.800000,0.171645,-0.274060,-0.517705,0.913342,-0.382628,-0.196857,-0.540581,0.413422,-1.671823,-0.127382,0.329203,-0.615241,0.809402,-0.351198
2.9037,-0.256978,0.337245,-0.406915,-1.800000,0.173942,-0.287283,-0.442997,0.819898,-0.392302,-0.204769,-0.522768,0.408789,-1.684451,-0.109120,0.318461,-0.631434,0.814681,-0.353745
2.9371,-0.271213,0.350116,-0.405543,-1.800000,0.189898,-0.325254,-0.358368,0.682246,-0.409952,-0.209357,-0.509499,0.397136,-1.704308,-0.095567,0.306761,-0.663635,0.837141,-0.352897
2.9704,-0.297274,0.365765,-0.411512,-1.800000,0.197024,-0.360621,-0.299991,0.572783,-0.408240,-0.213081,-0.501961,0.374084,-1.728916,-0.081871,0.289266,-0.720480,0.882294,-0.348005
3.0038,-0.332364,0.382095,-0.426056,-1.800000,0.190301,-0.377507,-0.277704,0.498019,-0.402675,-0.209796,-0.492568,0.346377,-1.753166,-0.069326,0.279726,-0.796053,0.947035,-0.332332
3.0372,-0.348787,0.414717,-0.429191,-1.800000,0.199193,-0.393957,-0.297909,0.534558,-0.439320,-0.198286,-0.489318,0.328652,-1.770047,-0.063319,0.286807,-0.870393,1.040147,-0.330138
3.0706,-0.371730,0.449518,-0.437472,-1.800000,0.217015,-0.419413,-0.303528,0.561632,-0.473975,-0.185170,-0.478169,0.309506,-1.794426,-0.069221,0.314885,-0.928167,1.116581,-0.344298
3.1039,-0.391102,0.481160,-0.442327,-1.800000,0.216955,-0.475765,-0.282736,0.583852,-0.505224,-0.173699,-0.481347,0.300875,-1.799992,-0.133301,0.366967,-0.961831,1.192832,-0.377902
3.1373,-0.398572,0.514127,-0.435104,-1.800000,0.207067,-0.549767,-0.251948,0.617279,-0.545297,-0.169143,-0.510050,0.301559,-1.800000,-0.243197,0.448633,-0.966502,1.278567,-0.417058
3.1707,-0.407844,0.542708,-0.426981,-1.800000,0.197552,-0.610759,-0.192918,0.627660,-0.573842,-0.157540,-0.543636,0.303253,-1.800000,-0.357582,0.498060,-0.932725,1.353271,-0.431834
3.2041,-0.420520,0.557205,-0.425447,-1.800000,0.225214,-0.641404,-0.002199,0.481519,-0.533334,-0.107359,-0.580727,0.304832,-1.800000,-0.425087,0.461328,-0.822063,1.332630,-0.435917
3.2374,-0.421603,0.647174,-0.423287,-1.800000,0.277763,-0.649894,0.099164,0.392439,-0.488626,-0.090195,-0.578852,0.307673,-1.800000,-0.390007,0.429552,-0.747559,1.248872,-0.482800
3.2708,-0.408161,0.764233,-0.412787,-1.800000,0.344872,-0.650000,0.144837,0.426973,-0.478510,-0.060322,-0.559985,0.306675,-1.800000,-0.344357,0.360182,-0.682209,1.174953,-0.530155
3.3042,-0.334396,0.918588,-0.337018,-1.800000,0.461407,-0.650000,0.125735,0.649273,-0.486565,-0.038487,-0.536832,0.339523,-1.800000,-0.272912,0.279775,-0.645678,1.142033,-0.555754
3.3376,-0.226725,1.086646,-0.218416,-1.800000,0.533319,-0.650000,-0.012068,1.002386,-0.421511,-0.020433,-0.531219,0.384410,-1.800000,-0.212672,0.195936,-0.662837,1.164319,-0.562200
3.3709,-0.118535,1.268784,-0.083839,-1.800000,0.513420,-0.616948,-0.277362,1.347605,-0.436153,-0.012175,-0.528089,0.424363,-1.800000,-0.146576,0.150208,-0.726422,1.191264,-0.544171
3.4043,-0.036607,1.447794,0.040468,-1.800000,0.411778,-0.548459,-0.620601,1.603438,-0.444610,0.004626,-0.548622,0.418337,-1.800000,-0.105221,0.135243,-0.805402,1.210505,-0.529415
3.4377,0.038066,1.622427,0.131322,-1.800000,0.385860,-0.464738,-0.881837,1.722471,-0.409552,0.033581,-0.568303,0.404087,-1.800000,-0.062698,0.125311,-0.875492,1.221263,-0.496656
3.4711,0.097360,1.761250,0.156414,-1.677666,0.414135,-0.410285,-0.985820,1.695218,-0.381478,0.091928,-0.594756,0.390134,-1.800000,-0.047000,0.077245,-0.917741,1.234272,-0.478057
3.5045,0.151669,1.881433,0.142622,-1.500980,0.457804,-0.381366,-1.021212,1.564229,-0.344435,0.143849,-0.618271,0.389016,-1.800000,-0.028578,0.031270,-0.957419,1.223651,-0.436438
3.5378,0.202607,1.973150,0.092690,-1.314126,0.502448,-0.385386,-0.995181,1.374768,-0.303010,0.181037,-0.657170,0.387523,-1.800000,-0.019961,-0.020543,-0.993301,1.202539,-0.389161
3.5712,0.231412,2.061648,-0.000730,-1.113602,0.537620,-0.389526,-0.968829,1.180412,-0.249792,0.195408,-0.702612,0.391290,-1.800000,-0.007811,-0.059059,-1.031683,1.167093,-0.338427
3.6046,0.252628,2.085240,-0.118330,-0.911196,0.554837,-0.426919,-0.926729,0.993958,-0.179919,0.193575,-0.771114,0.393256,-1.800000,-0.012530,-0.117547,-1.078857,1.121554,-0.286062
3.6380,0.285221,2.092613,-0.240827,-0.720842,0.584832,-0.478908,-0.874534,0.859910,-0.122594,0.200486,-0.844314,0.384418,-1.800000,-0.021682,-0.162452,-1.109474,1.083050,-0.251372
